name,open,high,low,close,volume,marketCap,timestamp
2781,1.936769962,5.854650021,1.173449993,2.504620075,124575,4468631.55,2014-06-01T00:00:00.000Z
2781,2.505359888,3.581180096,1.462599993,2.551660061,111065,6324973.61,2014-07-01T00:00:00.000Z
2781,2.565939903,37.78089905,1.344959974,2.170639992,308396,6814765.61,2014-08-01T00:00:00.000Z
2781,2.174679995,2.280250073,1.142210007,1.219570041,82093.5,4578164.91,2014-09-01T00:00:00.000Z
2781,1.208490014,1.224850059,0.590306997,0.607218027,37303.4,2647634.4,2014-10-01T00:00:00.000Z
2781,0.607123017,0.773504019,0.500091016,0.567551971,14933.1,2776542.61,2014-11-01T00:00:00.000Z
2781,0.567864001,0.611029029,0.299858987,0.434659988,37598.2,2382827.2,2014-12-01T00:00:00.000Z
2781,0.436241001,0.490254998,0.212966994,0.284363002,10211.2,1710802.25,2015-01-01T00:00:00.000Z
2781,0.283609986,0.437406004,0.224265993,0.427226991,68061.7,2769374.96,2015-02-01T00:00:00.000Z
2781,0.427313,1.019199967,0.384157002,0.907059014,216122,6330412.51,2015-03-01T00:00:00.000Z
2781,0.907473981,1.046249986,0.445987999,0.50117898,29588.8,3721181.4,2015-04-01T00:00:00.000Z
2781,0.502924979,0.624823988,0.415161997,0.450888991,44096.1,3559304.72,2015-05-01T00:00:00.000Z
2781,0.451223999,0.552648008,0.443201006,0.500266016,20585.7,4160614.84,2015-06-01T00:00:00.000Z
2781,0.499343991,0.64576,0.473017007,0.574956,17851.8,5022617.34,2015-07-01T00:00:00.000Z
2781,0.574428022,0.750603974,0.413888991,0.467238009,20464,4269082.83,2015-08-01T00:00:00.000Z
2781,0.467260987,0.569800973,0.350445002,0.399881989,91651.8,3802283.09,2015-09-01T00:00:00.000Z
2781,0.401044011,0.476094008,0.376776993,0.404538006,19924.2,3995340.39,2015-10-01T00:00:00.000Z
2781,0.402422011,0.577542007,0.370902985,0.395224989,30651.9,4037886.61,2015-11-01T00:00:00.000Z
